Entity,Code,Year,Mismanaged plastic waste per capita
Hong Kong,HKG,2019,0.7774341
Iceland,ISL,2019,0.44542772
India,IND,2019,9.509608
Indonesia,IDN,2019,3.0456574
Iran,IRN,2019,5.98168
Iraq,IRQ,2019,12.510074
Ireland,IRL,2019,0.5479312
Israel,ISR,2019,0.7113511
Italy,ITA,2019,0.64084226
Jamaica,JAM,2019,16.84973
Japan,JPN,2019,0.28128645
Jordan,JOR,2019,12.316868
Kazakhstan,KAZ,2019,2.9239395
Kenya,KEN,2019,5.514456
Kiribati,KIR,2019,0.62711865
Kuwait,KWT,2019,0.62752557
Latvia,LVA,2019,0.5007866
Lebanon,LBN,2019,6.800175
Lesotho,LSO,2019,14.301647
Liberia,LBR,2019,8.087908
Libya,LBY,2019,27.819832
Lithuania,LTU,2019,0.37572464
Madagascar,MDG,2019,0.93626016
Malaysia,MYS,2019,25.491518
Maldives,MDV,2019,0.11299435
Malta,MLT,2019,0.58863634
Marshall Islands,MHL,2019,0.27118644
Martinique,MTQ,2019,0.36968085
Mauritania,MRT,2019,4.5947857
Mauritius,MUS,2019,0.23543307
Mexico,MEX,2019,3.3753526
Monaco,MCO,2019,0.12820512
Montenegro,MNE,2019,0.025477707
Morocco,MAR,2019,8.101777
Mozambique,MOZ,2019,14.306527
Myanmar,MMR,2019,8.038339
Namibia,NAM,2019,8.373548
Netherlands,NLD,2019,0.890975
New Zealand,NZL,2019,0.3583525
Nicaragua,NIC,2019,16.935839
Nigeria,NGA,2019,9.698006
North America,OWID_NAM,2019,5.257716
North Korea,PRK,2019,0.01254578
Norway,NOR,2019,0.2777468
Oceania,OWID_OCE,2019,3.2402678
Oman,OMN,2019,0.25145727
Pakistan,PAK,2019,6.2173486
Palau,PLW,2019,6.4444447
Palestine,PSE,2019,0.42742422
Panama,PAN,2019,8.558408
Papua New Guinea,PNG,2019,13.621012
Peru,PER,2019,4.315995
Philippines,PHL,2019,37.23096
Poland,POL,2019,0.37278295
Portugal,PRT,2019,0.373362
Puerto Rico,PRI,2019,0.44084555
Qatar,QAT,2019,0.54096043
Reunion,REU,2019,0.26209223
Romania,ROU,2019,2.6935709
Russia,RUS,2019,2.4911497
Saint Kitts and Nevis,KNA,2019,1.8301886
Saint Lucia,LCA,2019,23.36612
Saint Vincent and the Grenadines,VCT,2019,11.126126
Samoa,WSM,2019,8.822335
Sao Tome and Principe,STP,2019,9.623256
Saudi Arabia,SAU,2019,0.20940208
Senegal,SEN,2019,4.0292096
Seychelles,SYC,2019,0.33673468
Sierra Leone,SLE,2019,11.677845
Singapore,SGP,2019,0.42522398
Slovakia,SVK,2019,0.31500825
Slovenia,SVN,2019,0.4059644
Solomon Islands,SLB,2019,5.2537313
Somalia,SOM,2019,0.002719679
South Africa,ZAF,2019,12.098552
South Korea,KOR,2019,0.237306
Spain,ESP,2019,0.4354152
Sri Lanka,LKA,2019,7.2906585
Sudan,SDN,2019,18.256721
Suriname,SUR,2019,39.4716
Sweden,SWE,2019,0.4239737
Syria,SYR,2019,0.029408319
Taiwan,TWN,2019,0.3155548
Tanzania,TZA,2019,29.590553
Thailand,THA,2019,19.557205
Togo,TGO,2019,15.068423
Tonga,TON,2019,6.4038463
Trinidad and Tobago,TTO,2019,52.42939
Tunisia,TUN,2019,24.757418
Turkey,TUR,2019,19.850294
Ukraine,UKR,2019,8.950698
United Arab Emirates,ARE,2019,0.52553475
United Kingdom,GBR,2019,0.4429735
United States,USA,2019,0.8128151
Uruguay,URY,2019,26.753323
Venezuela,VEN,2019,23.545763
Vietnam,VNM,2019,11.536045
Western Sahara,ESH,2019,7.0687284
World,OWID_WRL,2019,8.008551
Yemen,YEM,2019,10.004012
Zimbabwe,ZWE,2019,35.839195
